Loan Amount,Payment Coupon,Status 1/1/2023,Status 12/31/2023,Current Borrower Credit Score,Borrower Total Annual Debt-to-Income (Estimated),Default (90+ Days Past Due),Recovery (% of Exposure at Default),Time to Recovery (Months),PV recovery %,Actual loss,,
"$150,116 ",5.62%,current,current,629,0.696,FALSE,,,#VALUE!,0,,
"$10,952 ",3.60%,current,current,654,0.224,FALSE,,,#VALUE!,0,,
"$192,039 ",5.60%,current,current,643,0.296,FALSE,,,#VALUE!,0,,
"$160,169 ",4.81%,current,current,694,0.672,FALSE,,,#VALUE!,0,,
"$159,710 ",2.04%,current,current,609,0.648,FALSE,,,#VALUE!,0,,
"$109,252 ",3.58%,current,current,654,0.2,FALSE,,,#VALUE!,0,,
"$137,623 ",5.53%,current,current,733,0.232,FALSE,,,#VALUE!,0,,
"$121,808 ",3.65%,current,current,741,0.704,FALSE,,,#VALUE!,0,,
"$76,987 ",5.86%,current,current,741,0.776,FALSE,,,#VALUE!,0,,
"$53,437 ",2.33%,current,current,787,0.688,FALSE,,,#VALUE!,0,,
"$149,064 ",2.99%,current,current,687,0.264,FALSE,,,#VALUE!,0,,
"$10,222 ",6.11%,current,current,661,0.504,FALSE,,,#VALUE!,0,,
"$135,494 ",5.02%,current,current,769,0.2,FALSE,,,#VALUE!,0,,
"$132,305 ",2.27%,current,current,607,0.368,FALSE,,,#VALUE!,0,,
"$135,536 ",6.63%,current,current,768,0.2,FALSE,,,#VALUE!,0,,
"$199,650 ",5.13%,current,current,784,0.352,FALSE,,,#VALUE!,0,,
"$179,477 ",4.79%,current,current,616,0.76,FALSE,,,#VALUE!,0,,
"$62,139 ",5.78%,current,current,798,0.568,FALSE,,,#VALUE!,0,,
"$145,824 ",4.28%,current,current,638,0.2,FALSE,,,#VALUE!,0,,
"$195,003 ",2.11%,current,current,666,0.424,FALSE,,,#VALUE!,0,,
"$34,316 ",5.27%,current,current,773,0.632,FALSE,,,#VALUE!,0,,
"$75,870 ",3.19%,current,current,684,0.248,FALSE,,,#VALUE!,0,,
"$139,290 ",5.68%,current,current,792,0.672,FALSE,,,#VALUE!,0,,
"$153,493 ",2.24%,current,current,721,0.2,FALSE,,,#VALUE!,0,,
"$94,439 ",2.00%,current,current,689,0.248,FALSE,,,#VALUE!,0,,
"$193,616 ",5.64%,current,current,690,0.216,FALSE,,,#VALUE!,0,,
"$16,020 ",2.32%,current,defaulted,520.8,0.52,TRUE,5%,6,0.047245559,15219,,
"$155,571 ",6.52%,current,current,705,0.392,FALSE,,,#VALUE!,0,,
"$75,560 ",2.92%,current,current,603,0.352,FALSE,,,#VALUE!,0,,
"$172,984 ",6.25%,current,current,618,0.216,FALSE,,,#VALUE!,0,,
"$89,193 ",3.81%,current,current,698,0.208,FALSE,,,#VALUE!,0,,
"$98,983 ",6.57%,current,current,689,0.208,FALSE,,,#VALUE!,0,,
"$192,426 ",5.39%,current,current,685,0.4,FALSE,,,#VALUE!,0,,
"$64,306 ",3.83%,current,current,671,0.384,FALSE,,,#VALUE!,0,,
"$29,594 ",3.05%,current,current,739,0.216,FALSE,,,#VALUE!,0,,
"$76,064 ",2.20%,current,current,606,0.2,FALSE,,,#VALUE!,0,,
"$164,516 ",4.56%,current,current,764,0.2,FALSE,,,#VALUE!,0,,
"$33,577 ",3.28%,current,current,734,0.752,FALSE,,,#VALUE!,0,,
"$7,382 ",2.55%,current,current,738,0.368,FALSE,,,#VALUE!,0,,
"$49,151 ",5.37%,current,current,659,0.2,FALSE,,,#VALUE!,0,,
"$184,847 ",4.97%,current,current,647,0.2,FALSE,,,#VALUE!,0,,
"$122,513 ",4.76%,current,current,771,0.68,FALSE,,,#VALUE!,0,,
"$98,884 ",6.89%,current,current,622,0.616,FALSE,,,#VALUE!,0,,
"$108,990 ",4.11%,current,current,668,0.688,FALSE,,,#VALUE!,0,,
"$104,255 ",5.74%,current,current,787,0.2,FALSE,,,#VALUE!,0,,
"$59,034 ",3.72%,current,current,719,0.424,FALSE,,,#VALUE!,0,,
"$12,954 ",2.85%,current,current,613,0.72,FALSE,,,#VALUE!,0,,
"$143,071 ",2.31%,current,current,686,0.2,FALSE,,,#VALUE!,0,,
"$122,189 ",2.14%,current,current,749,0.304,FALSE,,,#VALUE!,0,,
"$51,301 ",4.74%,current,current,775,0.2,FALSE,,,#VALUE!,0,,
"$52,743 ",5.31%,current,current,680,0.2,FALSE,,,#VALUE!,0,,
"$68,727 ",6.48%,current,defaulted,552,0.34,TRUE,14%,6,0.132287566,59105.22,,
"$69,434 ",2.74%,current,current,613,0.312,FALSE,,,#VALUE!,0,,
"$110,519 ",4.92%,current,current,618,0.536,FALSE,,,#VALUE!,0,,
"$157,013 ",2.25%,delinquent in payments,defaulted,540.8,0.2,TRUE,3%,6,0.028347335,152302.61,,
"$38,511 ",4.57%,current,current,759,0.576,FALSE,,,#VALUE!,0,,
"$47,441 ",2.56%,current,current,691,0.272,FALSE,,,#VALUE!,0,,
"$27,384 ",3.32%,current,current,684,0.688,FALSE,,,#VALUE!,0,,
"$79,171 ",4.25%,current,current,656,0.416,FALSE,,,#VALUE!,0,,
"$158,161 ",4.02%,current,current,650,0.2,FALSE,,,#VALUE!,0,,
"$157,362 ",4.26%,current,current,641,0.664,FALSE,,,#VALUE!,0,,
"$75,935 ",2.98%,current,current,643,0.328,FALSE,,,#VALUE!,0,,
"$104,597 ",4.39%,current,current,773,0.4,FALSE,,,#VALUE!,0,,
"$126,405 ",6.13%,current,current,669,0.512,FALSE,,,#VALUE!,0,,
"$175,956 ",6.91%,current,current,725,0.8,FALSE,,,#VALUE!,0,,
"$17,777 ",3.35%,current,current,661,0.2,FALSE,,,#VALUE!,0,,
"$93,675 ",6.72%,current,current,608,0.368,FALSE,,,#VALUE!,0,,
"$57,803 ",2.76%,current,current,626,0.2,FALSE,,,#VALUE!,0,,
"$83,830 ",2.01%,current,current,730,0.48,FALSE,,,#VALUE!,0,,
"$132,925 ",5.92%,current,current,760,0.2,FALSE,,,#VALUE!,0,,
"$181,923 ",2.59%,current,current,730,0.56,FALSE,,,#VALUE!,0,,
"$145,537 ",3.21%,current,current,729,0.2,FALSE,,,#VALUE!,0,,
"$90,514 ",6.91%,current,current,729,0.2,FALSE,,,#VALUE!,0,,
"$88,622 ",2.93%,current,current,602,0.304,FALSE,,,#VALUE!,0,,
"$149,861 ",2.58%,current,current,795,0.624,FALSE,,,#VALUE!,0,,
"$81,868 ",4.75%,current,current,758,0.648,FALSE,,,#VALUE!,0,,
"$57,574 ",2.20%,current,current,758,0.2,FALSE,,,#VALUE!,0,,
"$84,721 ",4.28%,current,current,660,0.64,FALSE,,,#VALUE!,0,,
"$112,587 ",6.50%,current,current,685,0.6,FALSE,,,#VALUE!,0,,
"$7,676 ",6.50%,current,current,673,0.216,FALSE,,,#VALUE!,0,,
"$99,422 ",3.87%,current,current,742,0.2,FALSE,,,#VALUE!,0,,
"$76,135 ",2.88%,current,current,708,0.2,FALSE,,,#VALUE!,0,,
"$158,200 ",4.87%,current,current,745,0.272,FALSE,,,#VALUE!,0,,
"$48,986 ",3.20%,current,current,687,0.28,FALSE,,,#VALUE!,0,,
"$149,348 ",6.41%,current,current,603,0.2,FALSE,,,#VALUE!,0,,
"$156,847 ",2.91%,current,current,696,0.288,FALSE,,,#VALUE!,0,,
"$40,505 ",5.47%,current,current,759,0.2,FALSE,,,#VALUE!,0,,
"$59,841 ",4.57%,current,current,667,0.36,FALSE,,,#VALUE!,0,,
"$160,881 ",4.87%,current,current,736,0.504,FALSE,,,#VALUE!,0,,
"$24,547 ",7.00%,current,current,607,0.696,FALSE,,,#VALUE!,0,,
"$40,646 ",2.01%,current,current,647,0.2,FALSE,,,#VALUE!,0,,
"$149,784 ",2.78%,current,current,668,0.296,FALSE,,,#VALUE!,0,,
"$94,673 ",4.50%,current,current,612,0.768,FALSE,,,#VALUE!,0,,
"$166,941 ",5.70%,current,current,611,0.384,FALSE,,,#VALUE!,0,,
"$131,762 ",4.87%,current,current,615,0.76,FALSE,,,#VALUE!,0,,
"$37,933 ",2.42%,current,current,759,0.768,FALSE,,,#VALUE!,0,,
"$10,468 ",6.30%,current,current,771,0.2,FALSE,,,#VALUE!,0,,
"$165,786 ",6.67%,delinquent in payments,defaulted,551.2,1.1,TRUE,12%,3,0.116647851,145891.68,,
"$33,743 ",4.70%,current,current,665,0.336,FALSE,,,#VALUE!,0,,
"$188,626 ",6.20%,current,current,772,0.736,FALSE,,,#VALUE!,0,,
"$141,646 ",4.58%,current,current,798,0.224,FALSE,,,#VALUE!,0,,
"$155,456 ",6.06%,current,current,760,0.728,FALSE,,,#VALUE!,0,,
"$24,926 ",6.38%,current,current,666,0.2,FALSE,,,#VALUE!,0,,
"$109,288 ",4.90%,current,current,601,0.688,FALSE,,,#VALUE!,0,,
"$185,605 ",3.53%,current,current,626,0.704,FALSE,,,#VALUE!,0,,
"$10,736 ",5.77%,current,current,682,0.2,FALSE,,,#VALUE!,0,,
"$89,922 ",6.61%,current,current,740,0.704,FALSE,,,#VALUE!,0,,
"$82,814 ",3.97%,current,current,617,0.576,FALSE,,,#VALUE!,0,,
"$6,505 ",3.84%,current,current,775,0.56,FALSE,,,#VALUE!,0,,
"$106,210 ",2.38%,current,current,781,0.776,FALSE,,,#VALUE!,0,,
"$196,036 ",3.85%,current,current,784,0.28,FALSE,,,#VALUE!,0,,
"$118,660 ",6.71%,current,current,781,0.2,FALSE,,,#VALUE!,0,,
"$94,372 ",3.66%,current,current,647,0.504,FALSE,,,#VALUE!,0,,
"$190,709 ",4.68%,current,current,781,0.504,FALSE,,,#VALUE!,0,,
"$111,094 ",2.36%,current,current,707,0.2,FALSE,,,#VALUE!,0,,
"$135,306 ",5.95%,current,paid off,798,0.93,FALSE,,,#VALUE!,0,,
"$197,279 ",5.66%,current,current,635,0.448,FALSE,,,#VALUE!,0,,
"$167,172 ",3.97%,current,current,635,0.56,FALSE,,,#VALUE!,0,,
"$169,023 ",4.43%,current,current,677,0.568,FALSE,,,#VALUE!,0,,
"$65,004 ",4.04%,current,current,752,0.232,FALSE,,,#VALUE!,0,,
"$176,569 ",3.06%,current,current,671,0.304,FALSE,,,#VALUE!,0,,
"$168,374 ",3.45%,current,current,637,0.2,FALSE,,,#VALUE!,0,,
"$21,246 ",3.82%,current,current,766,0.52,FALSE,,,#VALUE!,0,,
"$70,943 ",5.11%,current,current,668,0.2,FALSE,,,#VALUE!,0,,
"$21,223 ",3.51%,current,current,638,0.576,FALSE,,,#VALUE!,0,,
"$192,425 ",2.23%,current,current,796,0.696,FALSE,,,#VALUE!,0,,
"$133,892 ",2.39%,delinquent in payments,defaulted,559.2,0.67,TRUE,22%,6,0.20788046,104435.76,,
"$159,973 ",2.05%,current,current,722,0.2,FALSE,,,#VALUE!,0,,
"$59,040 ",5.83%,current,current,768,0.2,FALSE,,,#VALUE!,0,,
"$182,192 ",5.08%,current,current,766,0.512,FALSE,,,#VALUE!,0,,
"$160,161 ",2.58%,current,current,712,0.576,FALSE,,,#VALUE!,0,,
"$114,287 ",6.08%,current,current,766,0.2,FALSE,,,#VALUE!,0,,
"$162,885 ",6.70%,current,current,778,0.352,FALSE,,,#VALUE!,0,,
"$52,786 ",2.96%,current,current,675,0.528,FALSE,,,#VALUE!,0,,
"$68,283 ",2.26%,current,current,767,0.2,FALSE,,,#VALUE!,0,,
"$40,977 ",6.82%,current,current,657,0.312,FALSE,,,#VALUE!,0,,
"$193,648 ",5.12%,current,current,758,0.232,FALSE,,,#VALUE!,0,,
"$85,223 ",3.49%,current,current,775,0.696,FALSE,,,#VALUE!,0,,
"$146,880 ",5.69%,current,paid off,786,0.99,FALSE,,,#VALUE!,0,,
"$54,733 ",6.19%,current,current,698,0.784,FALSE,,,#VALUE!,0,,
"$199,805 ",4.82%,current,current,628,0.68,FALSE,,,#VALUE!,0,,
"$37,550 ",5.10%,current,current,609,0.2,FALSE,,,#VALUE!,0,,
"$164,426 ",4.72%,current,current,759,0.688,FALSE,,,#VALUE!,0,,
"$147,117 ",3.63%,current,current,788,0.496,FALSE,,,#VALUE!,0,,
"$89,968 ",5.39%,current,current,799,0.2,FALSE,,,#VALUE!,0,,
"$72,856 ",2.61%,current,current,744,0.656,FALSE,,,#VALUE!,0,,
"$142,892 ",3.74%,current,current,709,0.2,FALSE,,,#VALUE!,0,,
"$168,707 ",4.91%,current,current,639,0.208,FALSE,,,#VALUE!,0,,
"$84,349 ",4.65%,current,current,727,0.6,FALSE,,,#VALUE!,0,,
"$171,449 ",5.32%,current,current,786,0.544,FALSE,,,#VALUE!,0,,
"$109,857 ",3.20%,current,current,739,0.544,FALSE,,,#VALUE!,0,,
"$53,277 ",3.95%,current,current,656,0.368,FALSE,,,#VALUE!,0,,
"$32,793 ",5.03%,current,current,615,0.488,FALSE,,,#VALUE!,0,,
"$144,390 ",4.95%,current,current,623,0.2,FALSE,,,#VALUE!,0,,
"$56,867 ",4.19%,current,current,602,0.392,FALSE,,,#VALUE!,0,,
"$91,379 ",6.94%,current,current,771,0.344,FALSE,,,#VALUE!,0,,
"$104,150 ",6.93%,current,current,787,0.76,FALSE,,,#VALUE!,0,,
"$173,724 ",4.95%,current,current,604,0.2,FALSE,,,#VALUE!,0,,
"$159,709 ",3.48%,current,current,798,0.736,FALSE,,,#VALUE!,0,,
"$130,554 ",4.66%,current,current,650,0.296,FALSE,,,#VALUE!,0,,
"$51,429 ",2.61%,current,current,714,0.328,FALSE,,,#VALUE!,0,,
"$125,045 ",5.92%,current,current,792,0.712,FALSE,,,#VALUE!,0,,
"$92,452 ",6.16%,current,current,679,0.208,FALSE,,,#VALUE!,0,,
"$80,396 ",6.49%,current,current,649,0.224,FALSE,,,#VALUE!,0,,
"$51,651 ",2.96%,current,current,614,0.344,FALSE,,,#VALUE!,0,,
"$104,318 ",3.04%,current,current,705,0.408,FALSE,,,#VALUE!,0,,
"$181,016 ",6.18%,current,current,633,0.752,FALSE,,,#VALUE!,0,,
"$59,476 ",4.97%,current,current,759,0.2,FALSE,,,#VALUE!,0,,
"$188,037 ",2.33%,current,current,729,0.2,FALSE,,,#VALUE!,0,,
"$99,344 ",3.51%,current,current,676,0.2,FALSE,,,#VALUE!,0,,
"$97,380 ",4.07%,current,current,697,0.784,FALSE,,,#VALUE!,0,,
"$72,468 ",6.10%,current,current,766,0.544,FALSE,,,#VALUE!,0,,
"$10,743 ",5.50%,current,current,741,0.68,FALSE,,,#VALUE!,0,,
"$34,545 ",6.51%,current,current,705,0.752,FALSE,,,#VALUE!,0,,
"$37,627 ",3.48%,current,current,705,0.336,FALSE,,,#VALUE!,0,,
"$83,300 ",5.60%,current,current,800,0.392,FALSE,,,#VALUE!,0,,
"$144,387 ",4.98%,current,paid off,627,1.1,FALSE,,,#VALUE!,0,,
"$149,181 ",6.14%,current,current,753,0.392,FALSE,,,#VALUE!,0,,
"$161,977 ",4.80%,current,current,698,0.2,FALSE,,,#VALUE!,0,,
"$86,884 ",3.53%,current,current,784,0.528,FALSE,,,#VALUE!,0,,
"$188,621 ",4.32%,current,current,696,0.656,FALSE,,,#VALUE!,0,,
"$80,723 ",3.45%,current,current,723,0.72,FALSE,,,#VALUE!,0,,
"$158,628 ",2.79%,current,current,613,0.2,FALSE,,,#VALUE!,0,,
"$143,191 ",2.95%,current,current,753,0.2,FALSE,,,#VALUE!,0,,
"$154,958 ",5.00%,current,current,677,0.504,FALSE,,,#VALUE!,0,,
"$72,657 ",5.34%,current,current,781,0.2,FALSE,,,#VALUE!,0,,
"$193,713 ",4.99%,current,paid off,677,0.2,FALSE,,,#VALUE!,0,,
"$49,128 ",5.36%,current,current,722,0.792,FALSE,,,#VALUE!,0,,
"$186,560 ",4.79%,current,current,668,0.664,FALSE,,,#VALUE!,0,,
"$111,033 ",5.26%,current,current,652,0.648,FALSE,,,#VALUE!,0,,
"$30,006 ",6.60%,current,current,705,0.672,FALSE,,,#VALUE!,0,,
"$163,000 ",4.20%,current,current,653,0.6,FALSE,,,#VALUE!,0,,
"$7,885 ",5.04%,current,current,680,0.2,FALSE,,,#VALUE!,0,,
"$26,809 ",2.05%,current,current,749,0.2,FALSE,,,#VALUE!,0,,
"$164,735 ",5.61%,current,current,736,0.728,FALSE,,,#VALUE!,0,,
"$193,255 ",5.46%,current,current,788,0.2,FALSE,,,#VALUE!,0,,
"$73,707 ",2.81%,current,current,684,0.312,FALSE,,,#VALUE!,0,,
"$102,129 ",5.11%,current,current,616,0.448,FALSE,,,#VALUE!,0,,
"$16,798 ",5.67%,current,current,639,0.232,FALSE,,,#VALUE!,0,,
"$104,328 ",5.35%,current,current,742,0.2,FALSE,,,#VALUE!,0,,
"$160,063 ",3.94%,current,current,730,0.464,FALSE,,,#VALUE!,0,,
"$105,374 ",5.56%,current,current,659,0.584,FALSE,,,#VALUE!,0,,
"$114,368 ",3.24%,current,current,626,0.52,FALSE,,,#VALUE!,0,,
"$192,082 ",4.69%,current,current,603,0.456,FALSE,,,#VALUE!,0,,
"$92,482 ",4.17%,current,current,604,0.8,FALSE,,,#VALUE!,0,,
"$24,531 ",2.13%,current,current,649,0.28,FALSE,,,#VALUE!,0,,
"$77,457 ",2.95%,current,current,639,0.632,FALSE,,,#VALUE!,0,,
"$55,075 ",6.58%,current,current,698,0.384,FALSE,,,#VALUE!,0,,
"$184,581 ",4.89%,current,current,751,0.616,FALSE,,,#VALUE!,0,,
"$148,676 ",6.25%,current,current,787,0.2,FALSE,,,#VALUE!,0,,
"$109,002 ",6.86%,current,current,724,0.664,FALSE,,,#VALUE!,0,,
"$89,008 ",3.90%,current,current,705,0.72,FALSE,,,#VALUE!,0,,
"$23,285 ",4.20%,current,current,720,0.2,FALSE,,,#VALUE!,0,,
"$137,571 ",6.18%,current,current,741,0.704,FALSE,,,#VALUE!,0,,
"$48,492 ",2.48%,current,current,730,0.2,FALSE,,,#VALUE!,0,,
"$59,193 ",5.50%,current,current,690,0.408,FALSE,,,#VALUE!,0,,
"$122,540 ",2.88%,current,current,766,0.248,FALSE,,,#VALUE!,0,,
"$191,104 ",5.87%,current,paid off,704,0.2,FALSE,,,#VALUE!,0,,
"$29,186 ",5.51%,current,current,733,0.2,FALSE,,,#VALUE!,0,,
"$37,463 ",3.29%,current,current,645,0.576,FALSE,,,#VALUE!,0,,
"$169,183 ",5.95%,current,current,761,0.576,FALSE,,,#VALUE!,0,,
"$171,603 ",6.21%,current,current,791,0.44,FALSE,,,#VALUE!,0,,
"$160,719 ",3.40%,current,current,672,0.408,FALSE,,,#VALUE!,0,,
"$25,329 ",6.19%,current,current,722,0.2,FALSE,,,#VALUE!,0,,
"$97,642 ",2.89%,current,current,757,0.472,FALSE,,,#VALUE!,0,,
"$18,324 ",3.02%,current,current,639,0.744,FALSE,,,#VALUE!,0,,
"$46,879 ",2.24%,current,current,740,0.744,FALSE,,,#VALUE!,0,,
"$160,708 ",5.29%,current,current,771,0.2,FALSE,,,#VALUE!,0,,
"$117,915 ",4.93%,current,current,625,0.688,FALSE,,,#VALUE!,0,,
"$50,017 ",4.16%,current,current,790,0.472,FALSE,,,#VALUE!,0,,
"$109,958 ",3.05%,current,current,662,0.48,FALSE,,,#VALUE!,0,,
"$98,948 ",3.05%,current,current,687,0.8,FALSE,,,#VALUE!,0,,
"$160,390 ",2.97%,current,current,694,0.248,FALSE,,,#VALUE!,0,,
"$39,154 ",5.37%,current,current,747,0.72,FALSE,,,#VALUE!,0,,
"$16,895 ",6.88%,current,current,734,0.344,FALSE,,,#VALUE!,0,,
"$125,693 ",2.11%,current,current,746,0.536,FALSE,,,#VALUE!,0,,
"$53,868 ",6.91%,current,current,606,0.584,FALSE,,,#VALUE!,0,,
"$167,053 ",4.75%,current,current,682,0.216,FALSE,,,#VALUE!,0,,
"$60,130 ",4.20%,current,current,607,0.2,FALSE,,,#VALUE!,0,,
"$55,498 ",4.22%,current,current,694,0.352,FALSE,,,#VALUE!,0,,
"$191,575 ",5.46%,current,current,713,0.568,FALSE,,,#VALUE!,0,,
"$122,014 ",4.38%,current,current,780,0.672,FALSE,,,#VALUE!,0,,
